,Injection Temp (Celsius),Growth Temp (Celsius),Metal_amount (g),Metal_mmol (mmol),Metal_concentration (mmol/g),Chalcogen_amount (g),Chalcogen_mmol (mmol),Chalcogen_concentration (mmol/g),Metal/Se_ratio,CA_amount (g),CA_mmol (mmol),Cd/CA_ratio,Amines_amount (g),Phosphines_amount (g),Phosphines_mmol (mmol),Chalcogen/Ph_ratio,S_I_amount (g),S_II_amount (g),Total_amount (g),Time_min (min),x0_cadmium acetate,x0_cadmium acetate dihtdrate,x0_cadmium acetate dihydrate,x0_cadmium oxide,x0_cadmium stearate,x0_dimethylcadmium,x1_None,x1_benzoic acid,x1_dodecylphosphonic acid,x1_ethylphosphonic acid,x1_lauric acid,x1_myrstic acid,x1_oleic acid,x1_stearic acid,x2_2-6-dimethylpyridine,x2_None,x2_aniline,x2_benzylamine,x2_dioctylamine/hexadecylamine,x2_dodecylamine,x2_heptylamine,x2_hexadecylamine,x2_octadecylamine,x2_octylamine,x2_oleylamine,x2_pyridine,x2_trioctylamine,x3_None,x3_diphenylphosphine,x3_tributylphosphine,x3_trioctylphosphine,x3_triphenylphosphine,x4_None,x4_liquid parafin,x4_octadecene,x4_phenyl ether,x4_trioctylphosphine oxide,x5_0,x5_None,x5_phosphinic acid,x5_trioctylphosphine oxide,Diameter_nm,Absorbance max (nm),PL max (nm)
141,0.333333333,0.857142857,-0.022700119,0.037951807,-0.122,1.286885246,0.971698113,0.25877551,-0.444466667,0.013893967,0.012396694,0.570555556,27.0165035,0.064864865,0.088888889,0.603969875,0.357851986,0,0.682622213,0.254161901,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1.99,582,592
142,-0.80952381,-2,-0.106332139,-0.094578313,-0.096,-0.491803279,-0.324528302,-0.260408163,1.396825397,0.036563071,0.033057851,0.213333333,0,-0.375135135,-0.434567901,0.685939665,0.749097473,0,0.27023329,-0.237387216,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1.97,465,480
143,-0.80952381,-2,-0.106332139,-0.094578313,-0.096,-0.491803279,-0.324528302,-0.260408163,1.396825397,0.036563071,0.033057851,0.213333333,0,-0.375135135,-0.434567901,0.685939665,0.749097473,0,0.27023329,-0.22061253,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,2.17,495,520
144,-0.80952381,-2,-0.106332139,-0.094578313,-0.096,-0.491803279,-0.324528302,-0.260408163,1.396825397,0.036563071,0.033057851,0.213333333,0,-0.375135135,-0.434567901,0.685939665,0.749097473,0,0.27023329,0.254161901,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,2.84,555,570
145,0,0.428571429,-0.106332139,-0.094578313,-0.096,-0.491803279,-0.324528302,-0.260408163,1.396825397,0.036563071,0.033057851,0.213333333,0,-0.375135135,-0.434567901,0.685939665,0.749097473,0,0.27023329,-0.237387216,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,2.57,525,540
146,0,0.428571429,-0.106332139,-0.094578313,-0.096,-0.491803279,-0.324528302,-0.260408163,1.396825397,0.036563071,0.033057851,0.213333333,0,-0.375135135,-0.434567901,0.685939665,0.749097473,0,0.27023329,-0.22061253,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,3.25,565,575
147,0,0.428571429,-0.106332139,-0.094578313,-0.096,-0.491803279,-0.324528302,-0.260408163,1.396825397,0.036563071,0.033057851,0.213333333,0,-0.375135135,-0.434567901,0.685939665,0.749097473,0,0.27023329,0.254161901,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,4.5,608,615
148,-0.523809524,-1.142857143,-0.106332139,-0.094578313,-0.0690627,-0.573770492,-0.382075472,-0.290412424,3.333333333,0.036563071,0.033057851,0.213333333,0,-0.375135135,-0.434567901,0.685939665,0.749097473,0,0.208737163,-0.237387216,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,2.02,465,480
149,-0.523809524,-1.142857143,-0.106332139,-0.094578313,-0.0690627,-0.573770492,-0.382075472,-0.290412424,3.333333333,0.036563071,0.033057851,0.213333333,0,-0.375135135,-0.434567901,0.685939665,0.749097473,0,0.208737163,-0.22061253,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,2.32,508,518
150,-0.523809524,-1.142857143,-0.106332139,-0.094578313,-0.0690627,-0.573770492,-0.382075472,-0.290412424,3.333333333,0.036563071,0.033057851,0.213333333,0,-0.375135135,-0.434567901,0.685939665,0.749097473,0,0.208737163,0.254161901,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,3.31,570,580
