Temperature,Growth,Metal_source,Metal_amount (g),Metal_mmol (mmol),Metal_concentration (mmol/g),Chalcogen_source,Chalcogen_amount (g),Chalcogen_mmol (mmol),Chalcogen_concentration (mmol/g),Metal/Se_ratio,Carboxylic_Acid,CA_amount (g),CA_mmol (mmol),Cd/CA_ratio,Amines,Amines_amount (g),Phosphines,Phosphines_amount (g),Phosphines_mmol (mmol),Chalcogen/Ph_ratio,Solvent I,S_I_amount (g),Solvent II,S_II_amount (g),Total_amount (g),Time_min (min),Purification antisolvent,Diameter_nm,FWHM (nm),Absorbance max (nm),PL max (nm),PLQY (%),Phase,Diameter from,Citation
330,330,cadmium oxide,0.128,1,0.06,Se powder,0.1579,2,0.12,0.5,dodecylphosphonic acid,0.5,2,0.12,hexadecylamine,4,tributylphosphine,6.1,30.15,0.0663,trioctylphosphine oxide,0,None,6,16.89,0.13,methanol,1.7,None,409,440,8,Wurtzite,TEM,J. Am. Chem. Soc. 2012 134 19 8006 - 8009
290,290,cadmium oxide,0.013,0.1,0.01,Se powder,0.008,0.1013,0.01,1,oleic acid,1.31,4.64,0.38,None,0,trioctylphosphine,1,2.7,0.0375,octadecene,9.91,None,0,12.24,0.083,methanol,2.28,35,508,523,None,Wurtzite,TEM,J. Phys. Chem. C 2008 112 46 17849 - 17854
290,290,cadmium oxide,0.013,0.1,0.01,Se powder,0.008,0.1013,0.01,1,oleic acid,1.31,4.64,0.38,None,0,trioctylphosphine,1,2.7,0.0375,octadecene,9.91,None,0,12.24,1,methanol,3.28,26,585,604,None,Wurtzite,TEM,J. Phys. Chem. C 2008 112 46 17849 - 17854
230,230,cadmium oxide,0.51,3.97,0.0367,Se powder,0.1,1.3,0.012,3.0538,oleic acid,5.54,19.6,0.2026,None,0,trioctylphosphine,0.5,1.35,0.963,octadecene,101.4,None,0,108.05,1.5,methanol & acetone ,2.5,None,524,544,None,None,TEM,Appl. Phys. Lett. 2009 94 153115
250,250,cadmium oxide,0.51,3.97,0.0367,Se powder,0.1,1.3,0.012,3.0538,oleic acid,5.54,19.6,0.2026,None,0,trioctylphosphine,0.5,1.35,0.963,octadecene,101.4,None,0,108.05,1.5,methanol & acetone ,3,None,555,577,None,None,TEM,Appl. Phys. Lett. 2009 94 153115
270,270,cadmium oxide,0.51,3.97,0.0367,Se powder,0.1,1.3,0.012,3.0538,oleic acid,5.54,19.6,0.2026,None,0,trioctylphosphine,0.5,1.35,0.963,octadecene,101.4,None,0,108.05,1.5,methanol & acetone ,4,None,592,610,None,None,TEM,Appl. Phys. Lett. 2009 94 153115
290,290,cadmium oxide,0.51,3.97,0.0367,Se powder,0.1,1.3,0.012,3.0538,oleic acid,5.54,19.6,0.2026,None,0,trioctylphosphine,0.5,1.35,0.963,octadecene,101.4,None,0,108.05,1.5,methanol & acetone ,4.5,None,603,625,None,None,TEM,Appl. Phys. Lett. 2009 94 153115
320,290,cadmium oxide,0.013,0.1,0.0167,Se powder,0.079,1,0.1665,0.1,stearic acid,0.114,0.4,0.25,dioctylamine/hexadecylamine,3.621,tributylphosphine,0.238,1.18,0.8475,trioctylphosphine oxide,1.94,None,0,6.0047,0.083,methanol,2.28,,495,509,,Wurtzite,TEM,J. Am. Chem. Soc. 2002 124 9 2049 - 2055
320,290,cadmium oxide,0.013,0.1,0.0167,Se powder,0.079,1,0.1665,0.1,stearic acid,0.114,0.4,0.25,dioctylamine/hexadecylamine,3.621,tributylphosphine,0.238,1.18,0.8475,trioctylphosphine oxide,1.94,None,0,6.0047,0.383,methanol,3.02,,551,563,,Wurtzite,TEM,J. Am. Chem. Soc. 2002 124 9 2049 - 2055
320,290,cadmium oxide,0.013,0.1,0.0167,Se powder,0.079,1,0.1665,0.1,stearic acid,0.114,0.4,0.25,dioctylamine/hexadecylamine,3.621,tributylphosphine,0.238,1.18,0.8475,trioctylphosphine oxide,1.94,None,0,6.0047,0.75,methanol,3.66,,579,591,,Wurtzite,TEM,J. Am. Chem. Soc. 2002 124 9 2049 - 2055
320,290,cadmium oxide,0.013,0.1,0.0167,Se powder,0.079,1,0.1665,0.1,stearic acid,0.114,0.4,0.25,dioctylamine/hexadecylamine,3.621,tributylphosphine,0.238,1.18,0.8475,trioctylphosphine oxide,1.94,None,0,6.0047,2.5,methanol,4.86,,607,617,,Wurtzite,TEM,J. Am. Chem. Soc. 2002 124 9 2049 - 2055
320,290,cadmium oxide,0.013,0.1,0.0167,Se powder,0.079,1,0.1665,0.1,stearic acid,0.114,0.4,0.25,dioctylamine/hexadecylamine,3.621,tributylphosphine,0.238,1.18,0.8475,trioctylphosphine oxide,1.94,None,0,6.0047,6.167,methanol,5.11,,611,623,,Wurtzite,TEM,J. Am. Chem. Soc. 2002 124 9 2049 - 2055
320,290,cadmium oxide,0.013,0.1,0.0167,Se powder,0.079,1,0.1665,0.1,stearic acid,0.114,0.4,0.25,dioctylamine/hexadecylamine,3.621,tributylphosphine,0.238,1.18,0.8475,trioctylphosphine oxide,1.94,None,0,6.0047,10.167,methanol,5.16,,615,627,,Wurtzite,TEM,J. Am. Chem. Soc. 2002 124 9 2049 - 2055
300,280,cadmium oxide,0.064,0.5,0.0239,Se powder,0.1185,1.5,0.0717,0.3333,stearic acid,0.569,2,0.25,hexadecylamine,9.6584,trioctylphosphine,0.85,2.3,0.6522,trioctylphosphine oxide,9.665,None,0,20.9251,1,,1.76,,571,581,,Wurtzite,TEM,J. Phys. Chem. C 2009 113 1 31 - 36
300,280,cadmium oxide,0.064,0.5,0.0239,Se powder,0.1185,1.5,0.0717,0.3333,stearic acid,0.569,2,0.25,hexadecylamine,9.6584,trioctylphosphine,0.85,2.3,0.6522,trioctylphosphine oxide,9.665,None,0,20.9251,10,,1.99,,582,592,,Wurtzite,TEM,J. Phys. Chem. C 2009 113 1 31 - 36
180,180,cadmium oxide,0.05,0.39,0.0252,Se powder,0.01,0.126,0.0081,3.095238095,stearic acid,0.6,2.1,0.1857,None,0,tributylphosphine,0.036,0.18,0.7,liquid parafin,14,None,0,15.5,0.33,methanol,1.97,None,465,480,None,Zinc blende,TEM,Colloids and Surfaces A: Physicochem. Eng. Aspects 2008 316 37 - 45
180,180,cadmium oxide,0.05,0.39,0.0252,Se powder,0.01,0.126,0.0081,3.095238095,stearic acid,0.6,2.1,0.1857,None,0,tributylphosphine,0.036,0.18,0.7,liquid parafin,14,None,0,15.5,0.66,methanol,2.17,None,495,520,None,Zinc blende,TEM,Colloids and Surfaces A: Physicochem. Eng. Aspects 2008 316 37 - 45
180,180,cadmium oxide,0.05,0.39,0.0252,Se powder,0.01,0.126,0.0081,3.095238095,stearic acid,0.6,2.1,0.1857,None,0,tributylphosphine,0.036,0.18,0.7,liquid parafin,14,None,0,15.5,10,methanol,2.84,None,555,570,None,Zinc blende,TEM,Colloids and Surfaces A: Physicochem. Eng. Aspects 2008 316 37 - 45
265,265,cadmium oxide,0.05,0.39,0.0252,Se powder,0.01,0.126,0.0081,3.095238095,stearic acid,0.6,2.1,0.1857,None,0,tributylphosphine,0.036,0.18,0.7,liquid parafin,14,None,0,15.5,0.33,methanol,2.57,None,525,540,None,Zinc blende,TEM,Colloids and Surfaces A: Physicochem. Eng. Aspects 2008 316 37 - 45
265,265,cadmium oxide,0.05,0.39,0.0252,Se powder,0.01,0.126,0.0081,3.095238095,stearic acid,0.6,2.1,0.1857,None,0,tributylphosphine,0.036,0.18,0.7,liquid parafin,14,None,0,15.5,0.66,methanol,3.25,None,565,575,None,Zinc blende,TEM,Colloids and Surfaces A: Physicochem. Eng. Aspects 2008 316 37 - 45
265,265,cadmium oxide,0.05,0.39,0.0252,Se powder,0.01,0.126,0.0081,3.095238095,stearic acid,0.6,2.1,0.1857,None,0,tributylphosphine,0.036,0.18,0.7,liquid parafin,14,None,0,15.5,10,methanol,4.5,None,608,615,None,Zinc blende,TEM,Colloids and Surfaces A: Physicochem. Eng. Aspects 2008 316 37 - 45
210,210,cadmium oxide,0.05,0.39,0.026546865,Se powder,0.005,0.065,0.004424478,6,stearic acid,0.6,2.1,0.1857,None,0,tributylphosphine,0.036,0.18,0.7,liquid parafin,14,None,0,14.691,0.33,methanol,2.02,None,465,480,None,Zinc blende,TEM,Colloids and Surfaces A: Physicochem. Eng. Aspects 2008 316 37 - 45
210,210,cadmium oxide,0.05,0.39,0.026546865,Se powder,0.005,0.065,0.004424478,6,stearic acid,0.6,2.1,0.1857,None,0,tributylphosphine,0.036,0.18,0.7,liquid parafin,14,None,0,14.691,0.66,methanol,2.32,None,508,518,None,Zinc blende,TEM,Colloids and Surfaces A: Physicochem. Eng. Aspects 2008 316 37 - 45
210,210,cadmium oxide,0.05,0.39,0.026546865,Se powder,0.005,0.065,0.004424478,6,stearic acid,0.6,2.1,0.1857,None,0,tributylphosphine,0.036,0.18,0.7,liquid parafin,14,None,0,14.691,10,methanol,3.31,None,570,580,None,Zinc blende,TEM,Colloids and Surfaces A: Physicochem. Eng. Aspects 2008 316 37 - 45
210,210,cadmium oxide,0.05,0.39,0.026501767,Se powder,0.03,0.39,0.026501767,1,stearic acid,0.6,2.1,0.1857,None,0,tributylphosphine,0.036,0.18,0.7,liquid parafin,14,None,0,14.716,0.33,methanol,2.61,None,528,550,None,Zinc blende,TEM,Colloids and Surfaces A: Physicochem. Eng. Aspects 2008 316 37 - 45
210,210,cadmium oxide,0.05,0.39,0.026501767,Se powder,0.03,0.39,0.026501767,1,stearic acid,0.6,2.1,0.1857,None,0,tributylphosphine,0.036,0.18,0.7,liquid parafin,14,None,0,14.716,0.66,methanol,2.76,None,540,560,None,Zinc blende,TEM,Colloids and Surfaces A: Physicochem. Eng. Aspects 2008 316 37 - 45
210,210,cadmium oxide,0.05,0.39,0.026501767,Se powder,0.03,0.39,0.026501767,1,stearic acid,0.6,2.1,0.1857,None,0,tributylphosphine,0.036,0.18,0.7,liquid parafin,14,None,0,14.716,10,methanol,3.66,None,578,610,None,Zinc blende,TEM,Colloids and Surfaces A: Physicochem. Eng. Aspects 2008 316 37 - 45
225,225,cadmium oxide,0.013,0.1,0.0066,Se powder,0.06,0.759,0.0502,0.1318,oleic acid,0.67,2.37,0.0422,None,0,trioctylphosphine,0.48,0.178,4.264,octadecene,13.9,None,0,15.123,0.5,none,2.5,none,474,617,none,Zinc blende,TEM,Colloids and Surfaces A: Physicochem. Eng. Aspects 2016 494 162 - 169
240,220,cadmium stearate,0.1846,0.27,0.082,Se powder,0.0213,2.7,0.8196,0.1,None,0,0,0,None,0,triphenylphosphine,1.0294,3.92,0.6888,trioctylphosphine oxide,2.0588,None,0,3.2941,10,toluene,2,none,375,3.3,none,wurtzite,TEM,J. Am. Chem. Soc. 2005 127 12 4372 - 4375
240,220,cadmium stearate,0.1846,0.27,0.082,Se powder,0.0213,2.7,0.8196,0.1,None,0,0,0,None,0,triphenylphosphine,1.0294,3.92,0.6888,trioctylphosphine oxide,2.0588,None,0,3.2941,15,toluene,2,none,375,3.3,none,wurtzite,TEM,J. Am. Chem. Soc. 2005 127 12 4372 - 4375
240,220,cadmium stearate,0.1846,0.27,0.082,Se powder,0.0213,2.7,0.8196,0.1,None,0,0,0,None,0,triphenylphosphine,1.0294,3.92,0.6888,trioctylphosphine oxide,2.0588,None,0,3.2941,30,toluene,2,none,375,3.5,none,wurtzite,TEM,J. Am. Chem. Soc. 2005 127 12 4372 - 4375
240,220,cadmium stearate,0.1846,0.27,0.082,Se powder,0.0213,2.7,0.8196,0.1,None,0,0,0,None,0,triphenylphosphine,1.0294,3.92,0.6888,trioctylphosphine oxide,2.0588,None,0,3.2941,45,toluene,2,none,375,3.5,none,wurtzite,TEM,J. Am. Chem. Soc. 2005 127 12 4372 - 4375
240,220,cadmium stearate,0.1846,0.27,0.082,Se powder,0.0213,2.7,0.8196,0.1,None,0,0,0,None,0,triphenylphosphine,1.0294,3.92,0.6888,trioctylphosphine oxide,2.0588,None,0,3.2941,60,toluene,2,none,375,3.4,none,wurtzite,TEM,J. Am. Chem. Soc. 2005 127 12 4372 - 4375
240,220,cadmium stearate,0.1846,0.27,0.082,Se powder,0.0213,2.7,0.8196,0.1,None,0,0,0,None,0,triphenylphosphine,1.0294,3.92,0.6888,trioctylphosphine oxide,2.0588,None,0,3.2941,90,toluene,2,none,362.5,3.5,none,wurtzite,TEM,J. Am. Chem. Soc. 2005 127 12 4372 - 4375
