,Injection Temp (Celsius),Growth Temp (Celsius),Metal_amount (g),Metal_mmol (mmol),Metal_concentration (mmol/g),Chalcogen_amount (g),Chalcogen_mmol (mmol),Chalcogen_concentration (mmol/g),Metal/Se_ratio,CA_amount (g),CA_mmol (mmol),Cd/CA_ratio,Amines_amount (g),Phosphines_amount (g),Phosphines_mmol (mmol),Chalcogen/Ph_ratio,S_I_amount (g),S_II_amount (g),Total_amount (g),Time_min (min),x0_cadmium acetate,x0_cadmium acetate dihtdrate,x0_cadmium acetate dihydrate,x0_cadmium oxide,x0_cadmium stearate,x0_dimethylcadmium,x1_None,x1_benzoic acid,x1_dodecylphosphonic acid,x1_ethylphosphonic acid,x1_lauric acid,x1_myrstic acid,x1_oleic acid,x1_stearic acid,x2_2-6-dimethylpyridine,x2_None,x2_aniline,x2_benzylamine,x2_dioctylamine/hexadecylamine,x2_dodecylamine,x2_heptylamine,x2_hexadecylamine,x2_octadecylamine,x2_octylamine,x2_oleylamine,x2_pyridine,x2_trioctylamine,x3_None,x3_diphenylphosphine,x3_tributylphosphine,x3_trioctylphosphine,x3_triphenylphosphine,x4_None,x4_liquid parafin,x4_octadecene,x4_phenyl ether,x4_trioctylphosphine oxide,x5_0,x5_None,x5_phosphinic acid,x5_trioctylphosphine oxide,Diameter_nm,Absorbance max (nm),PL max (nm)
0,0.3333333333333333,1.4285714285714286,0.3715651135005974,-0.3234939759036145,-0.19999999999999996,0.32786885245901637,0.3113207547169812,0.24489795918367355,-0.5,-0.4021937842778794,-0.40082644628099173,-0.8183333333333332,0.5594405594405595,0.2810810810810811,0.35555555555555557,-0.10289094978060838,0.38808664259927794,0.0,-0.022424422096037334,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.41,566,575
1,-0.38095238095238093,-0.7142857142857143,-0.34528076463560337,-0.44397590361445793,-0.3999999999999999,-0.16393442622950824,-0.08490566037735846,0.0,-0.48666666666666664,-0.007312614259597813,-0.008264462809917363,-0.5405555555555555,0.0,-0.2162162162162162,-0.25679012345679014,0.20578189956121676,0.19765342960288804,0.0,-0.2390671440408048,-0.2287457110179184,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.5,474,617
19,-0.09523809523809523,0.14285714285714285,-0.10633213859020309,-0.09457831325301207,2.6,-0.4918032786885246,-0.320754716981132,0.08163265306122451,1.4000000000000001,0.7678244972577697,0.7685950413223142,-0.42944444444444435,0.0,0.04864864864864864,0.06666666666666668,-0.4115637991224335,-0.5144404332129964,0.0,-0.7194818818270963,-0.24552039649256577,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.6,526,556
20,-0.09523809523809523,0.14285714285714285,-0.10633213859020309,-0.09457831325301207,2.6,-0.4918032786885246,-0.320754716981132,0.08163265306122451,1.4000000000000001,0.7678244972577697,0.7685950413223142,-0.42944444444444435,0.0,0.04864864864864864,0.06666666666666668,-0.4115637991224335,-0.5144404332129964,0.0,-0.7194818818270963,-0.2368788918541111,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.2,559,580
21,-0.09523809523809523,0.14285714285714285,-0.10633213859020309,-0.09457831325301207,2.6,-0.4918032786885246,-0.320754716981132,0.08163265306122451,1.4000000000000001,0.7678244972577697,0.7685950413223142,-0.42944444444444435,0.0,0.04864864864864864,0.06666666666666668,-0.4115637991224335,-0.5144404332129964,0.0,-0.7194818818270963,-0.2195958825772017,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.6,574,598
22,-0.09523809523809523,0.14285714285714285,-0.10633213859020309,-0.09457831325301207,2.6,-0.4918032786885246,-0.320754716981132,0.08163265306122451,1.4000000000000001,0.7678244972577697,0.7685950413223142,-0.42944444444444435,0.0,0.04864864864864864,0.06666666666666668,-0.4115637991224335,-0.5144404332129964,0.0,-0.7194818818270963,-0.20332952090481637,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.9,582,601
23,-0.047619047619047616,0.2857142857142857,1.5663082437275986,2.531927710843373,2.0,3.1147540983606556,2.2452830188679243,0.8979591836734694,-0.06666666666666665,11.378427787934186,11.382231404958679,-0.596111111111111,0.0,0.9513513513513515,1.1851851851851853,0.20578189956121676,-0.5144404332129964,0.0,0.548448153975964,-0.2312873300292286,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.23,556,562
24,-0.047619047619047616,0.2857142857142857,1.5663082437275986,2.531927710843373,2.0,3.1147540983606556,2.2452830188679243,0.8979591836734694,-0.06666666666666665,11.378427787934186,11.382231404958679,-0.596111111111111,0.0,0.9513513513513515,1.1851851851851853,0.20578189956121676,-0.5144404332129964,0.0,0.548448153975964,-0.2124793493455331,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.61,570,577
25,-0.047619047619047616,0.2857142857142857,1.5663082437275986,2.531927710843373,2.0,3.1147540983606556,2.2452830188679243,0.8979591836734694,-0.06666666666666665,11.378427787934186,11.382231404958679,-0.596111111111111,0.0,0.9513513513513515,1.1851851851851853,0.20578189956121676,-0.5144404332129964,0.0,0.548448153975964,-0.19468801626636167,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.86,574,588
26,-0.047619047619047616,0.2857142857142857,1.5663082437275986,2.531927710843373,2.0,3.1147540983606556,2.2452830188679243,0.8979591836734694,-0.06666666666666665,11.378427787934186,11.382231404958679,-0.596111111111111,0.0,0.9513513513513515,1.1851851851851853,0.20578189956121676,-0.5144404332129964,0.0,0.548448153975964,0.12708095056551022,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.74,605,624
